v,vw,o,c,h,l,t,n,pivot,r1,r2,r3,s1,s2,s3,ema_9,ema_50,rsi,atr,stoch_rsi
29019084.0,232.0685,233.43,232.15,233.85,230.52,1729137600000,487565,,,,,,,,,,,,
43643976.0,235.2273,236.18,235.0,236.18,234.01,1729224000000,562442,,,,,,,,,,,,
34128130.0,235.9263,234.45,236.48,236.85,234.45,1729483200000,538639,,,,,,,,,,,,
35412947.0,234.8426,233.885,235.86,236.22,232.6,1729569600000,489115,,,,,,,,,,,,
51447561.0,231.1335,234.08,230.76,235.144,227.76,1729656000000,721999,,,,,,,,,,,,
28895111.0,230.0667,229.98,230.57,230.82,228.41,1729742400000,490738,,,,,,,,,,,,
36791251.0,231.6772,229.74,231.41,233.22,229.57,1729828800000,551600,,,,,,,,,,,,
32964281.0,233.5717,233.32,233.4,234.73,232.55,1730088000000,557059,,,,,,,,,,,,
31895656.0,233.5864,233.1,233.67,234.325,232.32,1730174400000,484029,,,,,,,,,,,,
44279666.0,230.9294,232.61,230.1,233.2299,229.55,1730260800000,593539,,,,,,,,,,,,
60034650.0,226.6984,229.34,225.91,229.83,225.37,1730347200000,767796,,,,,,,,,,,,
61791843.0,222.8069,220.965,222.91,225.35,220.27,1730433600000,859056,,,,,,,,,,,,
40921729.0,221.7547,220.99,222.01,222.79,219.71,1730696400000,647102,,,,,,,,,,,,
27254038.0,223.094,221.795,223.45,223.95,221.14,1730782800000,501988,,,,,,,,,,,,
51811157.0,223.8587,222.61,222.72,226.065,221.19,1730869200000,796494,,,,,,,,,,,,
40121817.0,226.7564,224.625,227.48,227.875,224.57,1730955600000,623113,,,,,,,,,,,,
36726907.0,227.2234,227.17,226.96,228.66,226.405,1731042000000,541011,,,,,,,,,,,,
39502207.0,223.4111,225.0,224.23,225.7,221.5,1731301200000,555026,,,,,,,,,,,,
37632672.0,224.3829,224.55,224.23,225.59,223.355,1731387600000,462513,,,,,,,,,,,,
43061316.0,224.8974,224.01,225.12,226.65,222.76,1731474000000,467151,,,,,,,,,,,,
41725049.0,227.3879,225.02,228.22,228.87,225.0,1731560400000,491961,,,,,,,,,,,,
45374616.0,225.0903,226.4,225.0,226.92,224.27,1731646800000,451195,,,,,,,,,,,,
41049409.0,228.0885,225.25,228.02,229.74,225.17,1731906000000,437675,,,,,,,,,,,,
34221103.0,228.6862,226.98,228.28,230.16,226.66,1731992400000,364844,,,,,,,,,,,,
33560741.0,228.0359,228.06,229.0,229.93,225.89,1732078800000,358379,,,,,,,,,,,,
38582294.0,228.4642,228.88,228.52,230.155,225.7103,1732165200000,431589,,,,,,,,,,,,
35459680.0,229.6738,228.06,229.87,230.7199,228.06,1732251600000,380543,,,,,,,,,,,,
79840237.0,232.2878,231.46,232.87,233.245,229.74,1732510800000,510511,,,,,,,,,,,,
44049660.0,234.7366,233.33,235.06,235.57,233.33,1732597200000,449908,,,,,,,,,,,,
31604402.0,234.7888,234.465,234.93,235.69,233.8101,1732683600000,339772,,,,,,,,,,,,
25317735.0,236.5349,234.805,237.33,237.81,233.97,1732856400000,268866,,,,,,,,,,,,
40549156.0,239.4822,237.27,239.59,240.79,237.16,1733115600000,469551,,,,,,,,,,,,
36257276.0,241.5718,239.81,242.65,242.76,238.9,1733202000000,419286,,,,,,,,,,,,
39533068.0,242.9068,242.87,243.01,244.11,241.25,1733288400000,406580,,,,,,,,,,,,
35946469.0,243.0041,243.99,243.04,244.54,242.13,1733374800000,401171,,,,,,,,,,,,
34194099.0,243.2142,242.905,242.84,244.63,242.08,1733461200000,366463,,,,,,,,,,,,
40927114.0,245.9999,241.83,246.75,247.24,241.75,1733720400000,500703,,,,,,,,,,,,
35651201.0,247.2604,246.89,247.77,248.21,245.34,1733806800000,423276,,,,,,,,,,,,
39942729.0,248.2768,247.96,246.49,250.8,246.2601,1733893200000,455514,,,,,,,,,,,,
30928444.0,247.7304,246.89,247.96,248.74,245.68,1733979600000,352924,,,,,,,,,,,,
31374086.0,247.7396,247.815,248.13,249.2902,246.24,1734066000000,349747,,,,,,,,,,,,
47492968.0,250.4112,247.99,251.04,251.38,247.65,1734325200000,448109,,,,,,,,,,,,
48667525.0,252.9545,250.08,253.48,253.83,249.78,1734411600000,487548,,,,,,,,,,,,
54566547.0,250.6309,252.16,248.05,254.28,247.74,1734498000000,564238,,,,,,,,,,,,
52851291.0,249.8476,247.5,249.79,252.0,247.0949,1734584400000,532743,,,,,,,,,,,,
139662529.0,253.1175,248.04,254.49,255.0,245.69,1734670800000,550815,,,,,,,,,,,,
38465273.0,254.7388,254.77,255.27,255.65,253.45,1734930000000,422514,,,,,,,,,,,,
22420512.0,257.4366,255.49,258.2,258.21,255.29,1735016400000,245915,,,,,,,,,,,,
26226173.0,258.928,258.19,259.02,260.1,257.63,1735189200000,362309,,,,,,,,,,,,
40542367.0,255.2263,257.83,255.59,258.7,253.06,1735275600000,474853,,,,,,,,,,,,
33166048.0,252.2717,252.23,252.2,253.5,250.75,1735534800000,421590,,,,,,,,,,,,
34284191.0,250.7349,252.44,250.42,253.28,249.43,1735621200000,361194,,,,,,,,,,,,
81964874.0,185.9465,187.15,185.64,188.44,183.885,1704171600000,1008871,185.98833333333332,187.72834333333333,188.8033233333333,190.54333333333332,184.2483233333333,183.17334333333332,181.4333333333333,185.64,185.64,,,
